"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"05/07/2014",3,0,0,0,10,9.2,1054
"05/08/2014",11,1,0,0,5.8,5.4,1063
"05/09/2014",4,0,0,1,3.2,4.8,1066
"05/10/2014",4,0,0,0,2.7,5.6,793
"05/11/2014",18,0,0,0,10,13.5,908
"05/12/2014",3,0,0,0,10,6.2,1067
"05/13/2014",3,0,0,0,10,6.8,1049
"05/14/2014",3,0,0,0,9,5.9,1057
"05/15/2014",4,0,0,0,3.8,5.8,1070
"05/16/2014",7,1,0,0,4.2,13.3,1073
"05/17/2014",13,1,0,0,6.7,13.7,851
"05/18/2014",12,0,0,0,10,7.5,963
"05/19/2014",3,0,0,0,10,7.6,1073
"05/20/2014",3,0,0,0,10,7.3,1055
"05/21/2014",3,0,0,0,10,7.2,1063
"05/22/2014",3,0,0,1,9.6,3.6,1075
"05/23/2014",3,0,0,0,6.2,5.2,1082
"05/24/2014",2,0,0,0,9.7,6.1,840
"05/25/2014",2,0,0,0,9.3,6,814
"05/26/2014",3,0,0,0,10,9.8,975
"05/27/2014",3,0,0,0,10,10.2,1058
"05/28/2014",3,0,0,0,10,7.8,1067
"05/29/2014",4,0,0,0,3.3,10.2,1074
"06/10/2014",4,0,0,0,4.6,4.6,1104
"06/11/2014",20,0,0,0,9.3,7.5,1120
"06/12/2014",4,0,0,0,3.7,7,1132
"06/13/2014",4,0,0,0,3.5,5.5,1133
"06/14/2014",10,0,0,0,10,9.1,935
"06/15/2014",8,0,0,0,10,11.8,1017
"06/16/2014",20,0,0,0,10,5.5,1135
"06/17/2014",20,0,0,0,10,6.4,1117
"06/18/2014",10,0,0,0,10,13.6,1126
"06/19/2014",20,0,0,0,10,4.9,1139
"06/20/2014",20,0,0,0,10,6.5,1145
"06/21/2014",12,0,0,0,10,7.2,953
"06/22/2014",20,0,0,0,10,5.7,1033
"06/23/2014",20,0,0,0,10,6.2,1143
"06/24/2014",20,0,0,0,10,9.3,1129
"06/25/2014",20,0,0,0,8.2,11.4,1137
